filename,concept,k,column,property,columnid,kind,sub_kind
10579449_0_1681126353774891032.tar.gz,Newspaper,0,no idea,,,,
10630177_0_4831842476649004753.tar.gz,Building,0,floors,,,ratio-interval,count
10630177_0_4831842476649004753.tar.gz,Building,0,completion year,,,year,
11278409_0_3742771475298785475.tar.gz,Company,0,rank,,,ordinal,
11278409_0_3742771475298785475.tar.gz,Company,0,total expense ratio ,,,ratio-interval,other
1146722_1_7558140036342906956.tar.gz,Mountain,0,ranking,,,ordinal,
1146722_1_7558140036342906956.tar.gz,Mountain,4,elevation in m,http://dbpedia.org/ontology/maximumElevation,5,ratio-interval,other
1146722_1_7558140036342906956.tar.gz,Mountain,0,elevation in ft,,,ratio-interval,other
11688006_0_8123036130090004213.tar.gz,Country,2,population,http://dbpedia.org/ontology/populationTotal,2,ratio-interval,count
11688006_0_8123036130090004213.tar.gz,Country,1,area sq. km,http://dbpedia.org/property/statArea,3,ratio-interval,other
11688006_0_8123036130090004213.tar.gz,Country,0,population density sq. km,,,ratio-interval,other
11688006_0_8123036130090004213.tar.gz,Country,1,area sq. mi,http://dbpedia.org/property/statArea,5,ratio-interval,count
11688006_0_8123036130090004213.tar.gz,Country,0,population density sq. mi,,,ratio-interval,other
11833461_1_3811022039809817402.tar.gz,VideoGame,0,Pan European Game Information,,,nominal,categorical
12746760_0_6703465836620308483.tar.gz,PoliticalParty,0,funding,,,ratio-interval,other
12746760_0_6703465836620308483.tar.gz,PoliticalParty,0,funding,,,ratio-interval,other
12746760_0_6703465836620308483.tar.gz,PoliticalParty,0,funding,,,ratio-interval,other
13395751_3_369722706637560735.tar.gz,Lake,0,net area,,,ratio-interval,other
13395751_3_369722706637560735.tar.gz,Lake,0,total area,,,ratio-interval,other
13395751_3_369722706637560735.tar.gz,Lake,1,height,http://dbpedia.org/property/height,3,ratio-interval,other
14067031_0_559833072073397908.tar.gz,Country,0,no idea,,,,
14067031_0_559833072073397908.tar.gz,Country,0,no idea,,,,
14311244_0_7604843865524657408.tar.gz,Mountain,3,elevation,http://dbpedia.org/property/elevation,1,ratio-interval,other
14380604_4_3329235705746762392.tar.gz,Company,0,rank,,,ordinal,
14380604_4_3329235705746762392.tar.gz,Company,0,revenue,,,ratio-interval,other
14380604_4_3329235705746762392.tar.gz,Company,0,profit,,,ratio-interval,other
14380604_4_3329235705746762392.tar.gz,Company,0,assets,,,ratio-interval,other
14380604_4_3329235705746762392.tar.gz,Company,0,market value,,,ratio-interval,other
15700884_0_8204220284166767221.tar.gz,Company,10,number of employees  ,http://dbpedia.org/property/employees,2,ratio-interval,count
1614988_0_8789868670151796042.tar.gz,Scientist,0,age,,,ratio-interval,other
16767252_0_2409448375013995751.tar.gz,Film,0,fans' rank,,,ordinal,
16767252_0_2409448375013995751.tar.gz,Film,1,release year,http://dbpedia.org/property/released,2,year,
16767252_0_2409448375013995751.tar.gz,Film,0,overall rank,,,ordinal,
16949304_0_2573050770332101882.tar.gz,Hospital,0,hospital id,,,nominal,random
19073331_0_2742992342272078110.tar.gz,PoliticalParty,1,"different in prediction and results. Classified as change. Looking at the objects in dbpedia, values look similar",http://dbpedia.org/property/change,3,ratio-interval,other
20135078_0_7570343137119682530.tar.gz,Film,0,fans' rank,,,ordinal,
20135078_0_7570343137119682530.tar.gz,Film,1,yes,http://dbpedia.org/ontology/activeYearsStartYear,2,year,
20135078_0_7570343137119682530.tar.gz,Film,0,overall rank,,,ordinal,
2066887_0_746204117268168398.tar.gz,Saint,4,death data,http://dbpedia.org/ontology/deathYear,4,year,
21329809_0_5526008408364682899.tar.gz,City,0,"World rank, but no idea what is this",,,ordinal,
21329809_0_5526008408364682899.tar.gz,City,3,city population   ,http://dbpedia.org/ontology/populationUrban,3,ratio-interval,count
21329809_0_5526008408364682899.tar.gz,City,2,population metro,http://dbpedia.org/ontology/populationMetro,4,ratio-interval,count
21333456_2_1886495893795687264.tar.gz,Scientist,0,age,,,ratio-interval,other
21337553_0_8832378999628437599.tar.gz,Mountain,3,altitude,http://dbpedia.org/property/elevation,2,ratio-interval,other
21362676_0_6854186738074119688.tar.gz,Film,0,Fans' rank,,,ordinal,
21362676_0_6854186738074119688.tar.gz,Film,1,released,http://dbpedia.org/property/released,2,year,
21362676_0_6854186738074119688.tar.gz,Film,0,overall rank,,,ordinal,
21801207_0_8144839668470123042.tar.gz,VideoGame,1,"no idea, but looks like a ranking",http://dbpedia.org/property/homeranking,0,ordinal,
21801207_0_8144839668470123042.tar.gz,VideoGame,1,"no idea, but looks like a ranking",http://dbpedia.org/property/homeranking,2,ordinal,
24036779_0_5608105867560183058.tar.gz,Country,1,area,http://dbpedia.org/property/statArea,1,ratio-interval,other
24036779_0_5608105867560183058.tar.gz,Country,2,population,http://dbpedia.org/ontology/populationTotal,4,ratio-interval,count
24142265_0_4577466141408796359.tar.gz,VideoGame,0,rank,,,ordinal,
24142265_0_4577466141408796359.tar.gz,VideoGame,0,rank was,,,ordinal,
24142265_0_4577466141408796359.tar.gz,VideoGame,0,rank peak,,,ordinal,
24142265_0_4577466141408796359.tar.gz,VideoGame,0,days on chart,,,ratio-interval,count
24417511_0_3058323105166963431.tar.gz,BaseballPlayer,1,hall of fame year,http://dbpedia.org/property/hofdate,0,year,
24850757_0_5978004733768297283.tar.gz,Country,1,population,http://dbpedia.org/property/pop,1,ratio-interval,count
24850757_0_5978004733768297283.tar.gz,Country,0,no idea,,,,
24850757_0_5978004733768297283.tar.gz,Country,0,population to member ratio,,,ratio-interval,other
25404227_0_2240631045609013057.tar.gz,Film,0,rank,,,ordinal,
25404227_0_2240631045609013057.tar.gz,Film,1,release year,http://dbpedia.org/property/released,2,year,
25404227_0_2240631045609013057.tar.gz,Film,0,overall rank,,,ordinal,
26270372_1_3774607938887520564.tar.gz,Monarch,5,num of years,http://dbpedia.org/property/years,2,ratio-interval,count
26270372_1_3774607938887520564.tar.gz,Monarch,0,no idea,,,,
26310680_0_5150772059999313798.tar.gz,Currency,1,ios numeric code,http://dbpedia.org/property/isoNumber,3,nominal,random
27466715_0_3913547177671701530.tar.gz,VideoGame,1,released,http://dbpedia.org/property/recorded,1,year,
28036255_0_5705563063166785494.tar.gz,Mountain,1,elevation,http://dbpedia.org/ontology/elevation,1,ratio-interval,other
28079336_1_3124145965038277571.tar.gz,Company,0,rank,,,ordinal,
28079336_1_3124145965038277571.tar.gz,Company,0,sales in bil,,,ratio-interval,other
28079336_1_3124145965038277571.tar.gz,Company,0,profit in bil,,,ratio-interval,other
28079336_1_3124145965038277571.tar.gz,Company,0,assets in bil,,,ratio-interval,other
28079336_1_3124145965038277571.tar.gz,Company,0,market value in bil,,,ratio-interval,other
28079336_2_2139598421036200532.tar.gz,Company,0,number of employees laid off,,,ratio-interval,count
28154036_0_909001972154294543.tar.gz,PoliticalParty,1,number of seats,http://dbpedia.org/property/seats,3,ratio-interval,count
28646774_0_3256889721737611537.tar.gz,PoliticalParty,0,total funding,,,ratio-interval,other
28646774_0_3256889721737611537.tar.gz,PoliticalParty,0,funding for  2001,,,ratio-interval,other
28646774_0_3256889721737611537.tar.gz,PoliticalParty,0,funding for  2002,,,ratio-interval,other
28646774_0_3256889721737611537.tar.gz,PoliticalParty,0,expenditure 2002,,,ratio-interval,other
28646774_0_3256889721737611537.tar.gz,PoliticalParty,0,funding forward to 2003,,,ratio-interval,other
28993628_1_6072768612274729703.tar.gz,Mountain,0,no idea,,,,
28993628_1_6072768612274729703.tar.gz,Mountain,4,elevation,http://dbpedia.org/ontology/maximumElevation,2,ratio-interval,other
